pkt_index,size,rx_time_ns,tx_time_ns,delta_ns
0,64,7117875227924858,7117875227934029,9171
1,64,7117875270836784,7117875270842627,5843
2,64,7117875341826591,7117875341830177,3586
3,64,7117875441821664,7117875441825150,3486
4,64,7117875495820815,7117875495824615,3800
5,64,7117875557816677,7117875557820010,3333
6,64,7117875611814547,7117875611818069,3522
7,64,7117875667812800,7117875667816087,3287
8,64,7117875734808735,7117875734812244,3509
9,64,7117875800806898,7117875800810417,3519
10,64,7117875866803704,7117875866807257,3553
11,64,7117875924801351,7117875924804948,3597
12,64,7117875989798569,7117875989801853,3284
13,64,7117876053796022,7117876053799843,3821
14,64,7117876102793389,7117876102796437,3048
15,64,7117876102797356,7117876102799795,2439
16,64,7117876102801350,7117876102803791,2441
17,64,7117876102804766,7117876102807269,2503
18,64,7117876102808230,7117876102810698,2468
19,64,7117876102811652,7117876102814130,2478
20,64,7117876102815462,7117876102817971,2509
21,64,7117876102818913,7117876102821323,2410
22,64,7117876102822347,7117876102824839,2492
23,64,7117876102825764,7117876102828181,2417
24,64,7117876102829112,7117876102831552,2440
25,64,7117876102832551,7117876102835009,2458
26,64,7117876102835958,7117876102838348,2390
27,64,7117876102839294,7117876102841724,2430
28,64,7117876102842964,7117876102845445,2481
29,64,7117876102846458,7117876102848879,2421
30,64,7117876102849898,7117876102852433,2535
31,64,7117876102853390,7117876102855813,2423
32,64,7117876102857149,7117876102859568,2419
33,64,7117876102860531,7117876102862946,2415
34,64,7117876102863950,7117876102866411,2461
35,64,7117876102867421,7117876102869875,2454
36,64,7117876102870802,7117876102873345,2543
37,64,7117876102874325,7117876102876790,2465
38,64,7117876102877816,7117876102880252,2436
39,64,7117876102881236,7117876102883668,2432
40,64,7117876102884664,7117876102887152,2488
41,64,7117876102888131,7117876102890534,2403
42,64,7117876102891523,7117876102893958,2435
43,64,7117876102894914,7117876102897365,2451
44,64,7117876102898340,7117876102900751,2411
45,64,7117876102901783,7117876102904211,2428
46,64,7117876102905227,7117876102907667,2440
47,64,7117876102908617,7117876102911056,2439
48,64,7117876102912068,7117876102914481,2413
49,64,7117876102915457,7117876102917897,2440
50,64,7117876102918837,7117876102921310,2473
51,64,7117876102922289,7117876102924732,2443
52,64,7117876102925643,7117876102928155,2512
53,64,7117876102929192,7117876102931637,2445
54,64,7117876102932571,7117876102935070,2499
55,64,7117876102936021,7117876102938403,2382
56,64,7117876102939403,7117876102941931,2528
57,64,7117876102942905,7117876102945373,2468
58,64,7117876102946322,7117876102948790,2468
59,64,7117876102949724,7117876102952223,2499
60,64,7117876102953128,7117876102955567,2439
61,64,7117876102956554,7117876102958988,2434
62,64,7117876102959922,7117876102962439,2517
63,64,7117876102963409,7117876102965861,2452
64,64,7117876102967184,7117876102969779,2595
65,64,7117876102970684,7117876102973123,2439
66,64,7117876102974043,7117876102976560,2517
67,64,7117876102977472,7117876102979897,2425
68,64,7117876102980850,7117876102983432,2582
69,64,7117876102984352,7117876102986806,2454
70,64,7117876102987778,7117876102990269,2491
71,64,7117876102991298,7117876102993723,2425
72,64,7117876102994772,7117876102997279,2507
73,64,7117876102998210,7117876103000656,2446
74,64,7117876103001580,7117876103004056,2476
75,64,7117876103004985,7117876103007390,2405
76,64,7117876103008380,7117876103010851,2471
77,64,7117876103011802,7117876103014219,2417
78,64,7117876103015165,7117876103017651,2486
79,64,7117876103018637,7117876103021069,2432
80,64,7117876103022035,7117876103024497,2462
81,64,7117876103025491,7117876103027963,2472
82,64,7117876103028891,7117876103031306,2415
83,64,7117876103032301,7117876103034785,2484
84,64,7117876103035664,7117876103038188,2524
85,64,7117876103039181,7117876103041587,2406
86,64,7117876103042580,7117876103045116,2536
87,64,7117876103046114,7117876103048561,2447
88,64,7117876103049548,7117876103051988,2440
89,64,7117876103052957,7117876103055390,2433
90,64,7117876103056364,7117876103058772,2408
91,64,7117876103059761,7117876103062193,2432
92,64,7117876103063152,7117876103065635,2483
93,64,7117876103066660,7117876103069080,2420
94,64,7117876103070080,7117876103072514,2434
95,64,7117876103073471,7117876103075875,2404
96,64,7117876103077256,7117876103079702,2446
97,64,7117876103080629,7117876103083112,2483
98,64,7117876103084062,7117876103086520,2458
99,64,7117876103087470,7117876103089957,2487
100,64,7117876103090879,7117876103093331,2452
101,64,7117876103102691,7117876103105148,2457
102,64,7117876103106109,7117876103108599,2490
103,64,7117876103109574,7117876103111992,2418
104,64,7117876103113049,7117876103115527,2478
105,64,7117876103116498,7117876103118998,2500
106,64,7117876103119933,7117876103122371,2438
107,64,7117876103123338,7117876103125816,2478
108,64,7117876103126786,7117876103129233,2447
109,64,7117876103130155,7117876103132595,2440
110,64,7117876103133545,7117876103135997,2452
111,64,7117876103137020,7117876103139478,2458
112,64,7117876103140434,7117876103142862,2428
113,64,7117876103143844,7117876103146284,2440
114,64,7117876103147251,7117876103149675,2424
115,64,7117876103150658,7117876103153102,2444
116,64,7117876103154048,7117876103156579,2531
117,64,7117876103157541,7117876103159959,2418
118,64,7117876103160969,7117876103163433,2464
119,64,7117876103164377,7117876103166778,2401
120,64,7117876103167926,7117876103170412,2486
121,64,7117876103171451,7117876103173891,2440
122,64,7117876103174837,7117876103177269,2432
123,64,7117876103178291,7117876103180738,2447
